-N
?
??
+N
0.5km into scenic drive from dog cementary; Corrigin nature reserve.
0.8km E of turn off to the loop from along Ajana-Kalbarri Rd; Kalbarri NP
0.8km E of turnoff to the loop along Ajuna-Kalbarri rd; Kalbarri NP
0.8km E of Turnoff to the loop from along Ajana-Kalbarri Rd; Kalbarri NP
0.9km along Gap Rd off Frenchman Bay Rd. Torndirrup NP
1
1.28km along road from Ajana-Kalbarri Rd - Kalbarri NP
1.3km along south formby rd from chester pass rd turnoff; stirling range NP
1.4km from south formby rd; stirling range NP
10
10?26'N_83?59'W
10?28'N_84?02'W
10.7km E of Holt rock rd towards lake king ffrom newdegate
12
13.9km E of Holt Rock Rd; E newdegate
139 years
15.2km E of Newdegate Lake king
15.2km E of Newdgegate; lake king
17km east of loop Rd turnoff along ajana-Kalbarri Rd; Kalbarri NP. Then walked SE through Bush
19km E of Pingaring; Pingering varle rd
2
20 km N of Madang
20 km north of Madrid
20 km southwest of Bordeaux; France
20.6km E of Newdegate
200 km south of Kunming; Yunnan; Southwest China
200m down NP track (1.2km south of Scott RD) Whicher NP off Vasse Hwy.
200m of mullering rd turnoff N of Cataby; Brand hwy (lost key site) near turnoff
20km E of Newdegate towards lake king
20km E of Newdegate; towards lake king
24 km east of Prince George; British Columbia; CA
24?12'N_90?9'E
25 years
25m behind chalet 2b; stirling range retreat
3
3.9km south of southern cataby Roadhouse along brand Hwy.
31.4km E of pingaring
31.4km E of Pingaring
35km S. of Brasilia; Brazil
3L
4
40?47'N_77?53'W
40?48'N_77?50'W
40?49'N_77?56'W
415_Vancouver Isl.
416_NT; Australia
419_Fort Valley Experimental Station_Arizona
420_Prince Albert; Saskatchewan
421_France
422_Kuru; Finland
423_Fairfield_Vermont
424_Yakutsk
425_State College_Pennsylvania
426_Spain
429_Costa Rica
429_Dwight B. Demeritt Forest_Maine
429_La Selva; Costa Rica
429_Rio Loro; Zulia; Vanexuela
429_Turrialba; Costa Rica
45.2km N of Murchison River Crossing along North West Coastal Highway.
452_S. Moravia
457_Kornik
5
5.1km down track opposite Horner Rd; off hopetown-Ravens Rd
571_Japan
571_Shizuoka
575_Poland
577_Balears
584_United States
6
6.8km E along Millars Rd from Albany Hwy. Monadnocks NP
6.8km E along Millars Rd from Albany HWY. Monadnocks NP
6.8km E along Millars Rd from Albany Hwy. Monadnocks NP.
608_Sumatra
620_Vancouver Island
621_Australia
624_Australia
645_NY
648_Spain
649_Indonesia
65 km southeast of Seattle; Washington; USA
650_NC
651_WI
652_Spain
658_Chile
670_NY
676_OR_1
676_OR_2
676_OR_3
681_Panama
697_adult-lower_canopy
697_adult-upper_canopy
697_Germany
697_saplings
698_Indonesia
7
7 years
700m along Regalia Rd from Cambray (off vasse hwy) St john rd
700m along regalia rd from cambray (off vasse hwy) st john rd st john cons. Res.
705_Australia
711_Italy
712_Italy
715_NY
724_Hawaii_High
724_Hawaii_Low
725_Pasoh For. Reserve
726_French Guiana
727_MT_S1
727_MT_S2
727_MT_S3
73-year-old Scots pine (Pinus sylvestris L.) forest at Brasschaat; Campine region of the provin ...
730_Hawaii_S1
730_Hawaii_S2
732_Costa Rica
737_Chile_Site1
737_Chile_Site2
741_NE China transect
