Entry,TRYName,matchType,Confidence,GBIFStatus,rank,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Notes
680,Attalea maripa,EXACT,100,ACCEPTED,SPECIES,Attalea maripa,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
681,Attalea microcarpa,EXACT,100,ACCEPTED,SPECIES,Attalea microcarpa,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
682,Attalea nucifera,EXACT,100,ACCEPTED,SPECIES,Attalea nucifera,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
683,Attalea oleifera,EXACT,100,ACCEPTED,SPECIES,Attalea oleifera,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
684,Attalea phalerata,EXACT,99,ACCEPTED,SPECIES,Attalea phalerata,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
685,Attalea pindobassu,EXACT,100,ACCEPTED,SPECIES,Attalea pindobassu,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
686,Attalea plowmanii,EXACT,100,ACCEPTED,SPECIES,Attalea plowmanii,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
687,Attalea racemosa,EXACT,100,ACCEPTED,SPECIES,Attalea racemosa,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
688,Attalea rostrata,EXACT,100,ACCEPTED,SPECIES,Attalea rostrata,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
689,Attalea septuagenata,EXACT,100,ACCEPTED,SPECIES,Attalea septuagenata,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
690,Attalea sp,EXACT,80,ACCEPTED,GENUS,Attalea,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
691,Attalea speciosa,EXACT,99,ACCEPTED,SPECIES,Attalea speciosa,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
692,Attalea tessmannii,EXACT,100,ACCEPTED,SPECIES,Attalea tessmannii,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
693,Aulomyrcia zetekiana,EXACT,100,SYNONYM,SPECIES,Myrcia zetekiana,Myrcia,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,,
694,Aulonemia effusa,EXACT,100,ACCEPTED,SPECIES,Aulonemia effusa,Aulonemia,Poaceae,Poales,Liliopsida,Tracheophyta,,
695,Averrhoa carambola,EXACT,100,ACCEPTED,SPECIES,Averrhoa carambola,Averrhoa,Oxalidaceae,Oxalidales,Magnoliopsida,Tracheophyta,,
696,Avicennia bicolor,EXACT,100,ACCEPTED,SPECIES,Avicennia bicolor,Avicennia,Acanthaceae,Lamiales,Magnoliopsida,Tracheophyta,,
697,Avicennia germinans,EXACT,99,ACCEPTED,SPECIES,Avicennia germinans,Avicennia,Acanthaceae,Lamiales,Magnoliopsida,Tracheophyta,,
698,Avicennia schaueriana,EXACT,99,ACCEPTED,SPECIES,Avicennia schaueriana,Avicennia,Acanthaceae,Lamiales,Magnoliopsida,Tracheophyta,,
699,Axinaea lawessonii,EXACT,100,ACCEPTED,SPECIES,Axinaea lawessonii,Axinaea,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,
700,Axinaea sp,EXACT,80,ACCEPTED,GENUS,Axinaea,Axinaea,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,
701,Axonopus barbigerus,EXACT,100,ACCEPTED,SPECIES,Axonopus siccus,Axonopus,Poaceae,Poales,Liliopsida,Tracheophyta,,
702,Axonopus pressus,EXACT,100,ACCEPTED,SPECIES,Axonopus pressus,Axonopus,Poaceae,Poales,Liliopsida,Tracheophyta,,
703,Axonopus sp1,EXACT,95,ACCEPTED,GENUS,Axonopus,Axonopus,Poaceae,Poales,Liliopsida,Tracheophyta,,
704,Axonopus suffultus,EXACT,99,ACCEPTED,SPECIES,Axonopus suffultus,Axonopus,Poaceae,Poales,Liliopsida,Tracheophyta,,
705,Azadirachta indica,EXACT,100,ACCEPTED,SPECIES,Azadirachta indica,Azadirachta,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,,
706,Azorella pedunculata,EXACT,99,ACCEPTED,SPECIES,Azorella pedunculata,Azorella,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,,
707,Babacu,MANUAL,99,ACCEPTED,SPECIES,Attalea speciosa,Attalea,Arecaceae,Arecales,Liliopsida,Tracheophyta,Palm,Common name provided; used literature and location to assign species
708,Babtimao,MANUAL,100,ACCEPTED,SPECIES,Stryphnodendron pulcherrimum,Stryphnodendron,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Tree,Common name provided; assumed fava-barbatimao; used literature and location to assign species
709,Bacaba,MANUAL,100,ACCEPTED,SPECIES,Oenocarpus bacaba,Oenocarpus,Arecaceae,Arecales,Liliopsida,Tracheophyta,Palm,Common name provided; used literature and location to assign name
710,Baccharis arbutifolia,EXACT,99,ACCEPTED,SPECIES,Baccharis arbutifolia,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
711,Baccharis incarum,EXACT,99,ACCEPTED,SPECIES,Baccharis incarum,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
712,Baccharis l.,EXACT,96,ACCEPTED,GENUS,Baccharis,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
713,Baccharis latifolia,EXACT,100,ACCEPTED,SPECIES,Baccharis latifolia,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
714,Baccharis lundii,EXACT,100,SYNONYM,SPECIES,Baccharis serrulata,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
715,Baccharis macrantha,EXACT,100,ACCEPTED,SPECIES,Baccharis macrantha,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
716,Baccharis parvidentata,EXACT,100,ACCEPTED,SPECIES,Baccharis parvidentata,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
717,Baccharis pedunculata,EXACT,100,ACCEPTED,SPECIES,Baccharis pedunculata,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
718,Baccharis reticularia,EXACT,100,ACCEPTED,SPECIES,Baccharis reticularia,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
