Entry,TRYName,matchType,Confidence,GBIFStatus,rank,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Notes
1,Aa sp,EXACT,80,ACCEPTED,GENUS,Aa,Aa,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,
2,Abacaba palm,MANUAL,100,ACCEPTED,SPECIES,Oenocarpus bacaba,Oenocarpus,Arecaceae,Arecales,Liliopsida,Tracheophyta,Palm,Common name provided; used literature and location to assign name
3,Abarema,EXACT,96,ACCEPTED,GENUS,Abarema,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
4,Abarema adenophora,EXACT,100,SYNONYM,SPECIES,Jupunba adenophora,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
5,Abarema adenophorum,FUZZY,97,SYNONYM,SPECIES,Jupunba adenophora,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
6,Abarema alexandrae,EXACT,100,ACCEPTED,SPECIES,Abarema alexandrae,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
7,Abarema auriculata,EXACT,100,SYNONYM,SPECIES,Jupunba auriculata,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
8,Abarema barbouriana,EXACT,100,SYNONYM,SPECIES,Jupunba barbouriana,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
9,Abarema brachystachya,EXACT,100,SYNONYM,SPECIES,Jupunba brachystachya,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
10,Abarema cochleata,EXACT,100,SYNONYM,SPECIES,Jupunba cochleata,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
11,Abarema cochliacarpos,EXACT,100,ACCEPTED,SPECIES,Abarema cochliocarpos,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
12,Abarema cochliocarpos,EXACT,100,ACCEPTED,SPECIES,Abarema cochliocarpos,Abarema,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
13,Abarema curvicarpa,EXACT,100,SYNONYM,SPECIES,Jupunba curvicarpa,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
14,Abarema jupunba,EXACT,100,SYNONYM,SPECIES,Jupunba trapezifolia,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
15,Abarema jupunba var. jupunba,EXACT,100,SYNONYM,SPECIES,Jupunba trapezifolia,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
16,Abarema laeta,EXACT,100,SYNONYM,SPECIES,Jupunba laeta,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
17,Abarema langsdorffii,EXACT,99,SYNONYM,SPECIES,Jupunba langsdorffii,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
18,Abarema macradenia,EXACT,100,SYNONYM,SPECIES,Jupunba macradenia,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
19,Abarema mataybifolia,EXACT,100,SYNONYM,SPECIES,Jupunba mataybifolia,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
20,Abarema microcalyx,EXACT,100,SYNONYM,SPECIES,Jupunba microcalyx,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
21,Abarema piresii,EXACT,100,SYNONYM,SPECIES,Jupunba piresii,Jupunba,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
22,Abatia parviflora,EXACT,100,ACCEPTED,SPECIES,Abatia parviflora,Abatia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
23,Abdilobarana,MANUAL,100,ACCEPTED,SPECIES,Pouteria torta,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; assumed abiurana; used literature and location to assign species
24,Abies durangensis,EXACT,100,ACCEPTED,SPECIES,Abies durangensis,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,,
25,Abies religiosa,EXACT,99,ACCEPTED,SPECIES,Abies religiosa,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,,
26,Abiu caramuri,MANUAL,100,ACCEPTED,SPECIES,Pouteria elegans,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign species
27,Abiu casca grossa,MANUAL,100,ACCEPTED,SPECIES,Pouteria bilocularis,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign species
28,Abiu cutiti,MANUAL,100,ACCEPTED,SPECIES,Pouteria macrophylla,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign species
29,Abiu pitomba,MANUAL,96,ACCEPTED,GENUS,Pouteria,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided but not found; abiu is typically associated with Pouteria so kept the genus only.
30,Abiurana,MANUAL,100,ACCEPTED,SPECIES,Pouteria torta,Pouteria,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign genus
31,Abrus precatorius,EXACT,99,ACCEPTED,SPECIES,Abrus precatorius,Abrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
32,Abuta candollei,EXACT,100,ACCEPTED,SPECIES,Abuta candollei,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
33,Abuta dwyerana,FUZZY,96,ACCEPTED,SPECIES,Abuta dwyeriana,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
34,Abuta grandifolia,EXACT,100,ACCEPTED,SPECIES,Abuta grandifolia,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
35,Abuta imene,EXACT,100,ACCEPTED,SPECIES,Abuta imene,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
36,Abuta panamensis,EXACT,100,ACCEPTED,SPECIES,Abuta panamensis,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
37,Abuta panurensis,EXACT,100,ACCEPTED,SPECIES,Abuta panurensis,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
38,Abuta racemosa,EXACT,100,ACCEPTED,SPECIES,Abuta racemosa,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
39,Abuta rufescens,EXACT,99,ACCEPTED,SPECIES,Abuta rufescens,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
40,Abuta sp,EXACT,80,ACCEPTED,GENUS,Abuta,Abuta,Menispermaceae,Ranunculales,Magnoliopsida,Tracheophyta,,
41,Acacia acanthophylla,EXACT,100,SYNONYM,SPECIES,Senegalia hayesii,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
42,Acacia boriensis,FUZZY,96,SYNONYM,SPECIES,Senegalia bonariensis,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
43,Acacia glauca,MANUAL,99,SYNONYM,SPECIES,Acaciella glauca,Acaciella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,GBIF did not resolve due to multiple authors; picking one found in Panama
44,Acacia hayesii,EXACT,100,SYNONYM,SPECIES,Senegalia hayesii,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
45,Acacia mangium,EXACT,100,ACCEPTED,SPECIES,Acacia mangium,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
46,Acacia melanoceras,EXACT,100,SYNONYM,SPECIES,Vachellia melanoceras,Vachellia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
47,Acacia retinodes,EXACT,100,ACCEPTED,SPECIES,Acacia retinodes,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
48,Acacia riparia,MANUAL,99,SYNONYM,SPECIES,Senegalia riparia,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,GBIF did not resolve due to multiple authors; one is noted as invalid; picking the valid one and revising with accepted name
49,Acacia sp,EXACT,80,ACCEPTED,GENUS,Acacia,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
50,Acacia tenuifolia,MANUAL,99,SYNONYM,SPECIES,Senegalia tenuifolia,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,GBIF did not resolve due to multiple authors; picking one found in Panama
51,Acalypha brasiliensis,EXACT,99,ACCEPTED,SPECIES,Acalypha brasiliensis,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
52,Acalypha cuneata,EXACT,100,ACCEPTED,SPECIES,Acalypha cuneata,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
53,Acalypha diversifolia,EXACT,99,ACCEPTED,SPECIES,Acalypha diversifolia,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
54,Acalypha gracilis,EXACT,99,ACCEPTED,SPECIES,Acalypha gracilis,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
55,Acalypha macrostachya,EXACT,99,ACCEPTED,SPECIES,Acalypha macrostachya,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
56,Acalypha pub,MANUAL,100,ACCEPTED,SPECIES,Acalypha pubiflora,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Epithet likely truncated
57,Acalypha pubiflora,EXACT,100,ACCEPTED,SPECIES,Acalypha pubiflora,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
58,Acalypha sharpdent,MANUAL,96,ACCEPTED,GENUS,Acalypha,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Epithet misspelt; kept the genus as it is common at the sampling location
59,Acalypha sharpub,MANUAL,96,ACCEPTED,GENUS,Acalypha,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,Epithet misspelt; kept the genus as it is common at the sampling location
60,Acalypha skutchii,EXACT,100,ACCEPTED,SPECIES,Acalypha skutchii,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
61,Acalypha wilkesiana,EXACT,100,ACCEPTED,SPECIES,Acalypha wilkesiana,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
62,Acanthella sprucei,EXACT,100,ACCEPTED,SPECIES,Acanthella sprucei,Acanthella,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,
63,Acanthocereus cuixmalensis,EXACT,100,ACCEPTED,SPECIES,Acanthocereus cuixmalensis,Acanthocereus,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,
64,Acanthocereus occidentalis,EXACT,100,SYNONYM,SPECIES,Acanthocereus tetragonus,Acanthocereus,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,
65,Acanthocereus rosei,EXACT,100,ACCEPTED,SPECIES,Acanthocereus rosei,Acanthocereus,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,
66,Acanthocereus tetragonus,EXACT,99,ACCEPTED,SPECIES,Acanthocereus tetragonus,Acanthocereus,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,
67,Acanthocladus scleroxylon,EXACT,100,ACCEPTED,SPECIES,Acanthocladus scleroxylon,Acanthocladus,Polygalaceae,Fabales,Magnoliopsida,Tracheophyta,,
68,Acanthococos sp,HIGHERRANK,96,SYNONYM,GENUS,Acrocomia,Acrocomia,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
69,Acanthosyris annonagustata,EXACT,100,ACCEPTED,SPECIES,Acanthosyris annonagustata,Acanthosyris,Cervantesiaceae,Santalales,Magnoliopsida,Tracheophyta,,
70,Acanthus pallens,MANUAL,96,ACCEPTED,GENUS,Acanthus,Acanthus,Acanthaceae,Lamiales,Magnoliopsida,Tracheophyta,,Epithet misspelt; kept the genus as it is common at the sampling location
71,Acardium excelsum,EXACT,100,ACCEPTED,SPECIES,Anacardium excelsum,Anacardium,Anacardiaceae,Sapindales,Magnoliopsida,Tracheophyta,,
72,Acariquara,MANUAL,100,ACCEPTED,SPECIES,Minquartia guianensis,Minquartia,Coulaceae,Santalales,Magnoliopsida,Tracheophyta,Tree,Common name provided; assumed acariquarana; used literature and location to assign species
73,Acariquarana,MANUAL,100,ACCEPTED,SPECIES,Minquartia guianensis,Minquartia,Coulaceae,Santalales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign species
74,Acaulimalva purdiaei,EXACT,100,ACCEPTED,SPECIES,Acaulimalva purdiaei,Acaulimalva,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,
75,Achatocarpus gracilis,EXACT,100,ACCEPTED,SPECIES,Achatocarpus gracilis,Achatocarpus,Achatocarpaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,
76,Achicha,MANUAL,100,ACCEPTED,SPECIES,Sterculia speciosa,Sterculia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign species
77,Achua,MANUAL,100,ACCEPTED,SPECIES,Sacoglottis guianensis,Sacoglottis,Humiriaceae,Malpighiales,Magnoliopsida,Tracheophyta,Tree,Common name provided; used literature and location to assign name
78,Acianthera verecunda,EXACT,100,ACCEPTED,SPECIES,Acianthera verecunda,Acianthera,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,
79,Acidoton nicaraguensis,EXACT,100,SYNONYM,SPECIES,Gitara nicaraguensis,Gitara,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
80,Acioa longipendula,EXACT,100,ACCEPTED,SPECIES,Acioa longipendula,Acioa,Chrysobalanaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
81,Aciotis rubricaulis,EXACT,100,ACCEPTED,SPECIES,Aciotis rubricaulis,Aciotis,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,
82,Acnistus arborescens,EXACT,100,SYNONYM,SPECIES,Iochroma arborescens,Iochroma,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,,
83,Acosmium cardenasii,EXACT,100,ACCEPTED,SPECIES,Acosmium cardenasii,Acosmium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
84,Acosmium dasycarpum,EXACT,100,SYNONYM,SPECIES,Leptolobium dasycarpum,Leptolobium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
85,Acosmium panamense,EXACT,100,SYNONYM,SPECIES,Leptolobium panamense,Leptolobium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
86,Acosmium sp,EXACT,80,ACCEPTED,GENUS,Acosmium,Acosmium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
87,Acosmium subelegans,EXACT,100,SYNONYM,SPECIES,Leptolobium elegans,Leptolobium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
88,Acrocomia aculeata,EXACT,99,ACCEPTED,SPECIES,Acrocomia aculeata,Acrocomia,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
89,Acrocomia media,EXACT,100,ACCEPTED,SPECIES,Acrocomia media,Acrocomia,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
90,Acrostichum danaeifolium,EXACT,100,ACCEPTED,SPECIES,Acrostichum danaeifolium,Acrostichum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,,
91,Actinocephalus geniculatus,EXACT,100,SYNONYM,SPECIES,Paepalanthus geniculatus,Paepalanthus,Eriocaulaceae,Poales,Liliopsida,Tracheophyta,,
92,Actinocephalus polyanthus,EXACT,100,SYNONYM,SPECIES,Paepalanthus polyanthus,Paepalanthus,Eriocaulaceae,Poales,Liliopsida,Tracheophyta,,
93,Actinostachys pennula,EXACT,100,ACCEPTED,SPECIES,Actinostachys pennula,Actinostachys,Schizaeaceae,Schizaeales,Polypodiopsida,Tracheophyta,,
94,Actinostachys subtrijuga,EXACT,100,ACCEPTED,SPECIES,Actinostachys subtrijuga,Actinostachys,Schizaeaceae,Schizaeales,Polypodiopsida,Tracheophyta,,
95,Actinostemon concepcionis,EXACT,99,ACCEPTED,SPECIES,Actinostemon concepcionis,Actinostemon,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
96,Actinostemon concolor,EXACT,100,ACCEPTED,SPECIES,Actinostemon concolor,Actinostemon,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
97,Actinostemon klotzschii,EXACT,100,ACCEPTED,SPECIES,Actinostemon klotzschii,Actinostemon,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
98,Adelia brandegeei,EXACT,100,ACCEPTED,SPECIES,Adelia brandegeei,Adelia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
99,Adelia triloba,EXACT,100,ACCEPTED,SPECIES,Adelia triloba,Adelia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
100,Adelobotrys adscendens,EXACT,99,ACCEPTED,SPECIES,Adelobotrys adscendens,Adelobotrys,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,
101,Adelobotrys scandens,EXACT,99,ACCEPTED,SPECIES,Adelobotrys scandens,Adelobotrys,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,
102,Adelphia hiraea,EXACT,100,ACCEPTED,SPECIES,Adelphia hiraea,Adelphia,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
103,Adelphia platyrhachis,FUZZY,98,ACCEPTED,SPECIES,Adelphia platyrachis,Adelphia,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
104,Adenaria floribunda,EXACT,100,ACCEPTED,SPECIES,Adenaria floribunda,Adenaria,Lythraceae,Myrtales,Magnoliopsida,Tracheophyta,,
105,Adenocalymma apurense,EXACT,100,ACCEPTED,SPECIES,Adenocalymma apurense,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
106,Adenocalymma arthropetiolatum,EXACT,100,ACCEPTED,SPECIES,Adenocalymma arthropetiolatum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
107,Adenocalymma bracteatum,EXACT,100,ACCEPTED,SPECIES,Adenocalymma bracteatum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
108,Adenocalymma cladotrichum,EXACT,100,ACCEPTED,SPECIES,Adenocalymma cladotrichum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
109,Adenocalymma impressum,EXACT,100,ACCEPTED,SPECIES,Adenocalymma impressum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
110,Adenocalymma inundatum,EXACT,99,ACCEPTED,SPECIES,Adenocalymma inundatum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
111,Adenocalymma neoflavidum,EXACT,100,ACCEPTED,SPECIES,Adenocalymma neoflavidum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
112,Adenocalymma schomburgkii,EXACT,100,ACCEPTED,SPECIES,Adenocalymma schomburgkii,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
113,Adenocalymma sp,HIGHERRANK,95,ACCEPTED,GENUS,Adenocalymma,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
114,Adenocalymma subincanum,EXACT,100,ACCEPTED,SPECIES,Adenocalymma subincanum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
115,Adenocalymma tanaeciicarpum,EXACT,100,ACCEPTED,SPECIES,Adenocalymma tanaeciicarpum,Adenocalymma,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,
116,Adenostoma fasciculatum,EXACT,100,ACCEPTED,SPECIES,Adenostoma fasciculatum,Adenostoma,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,,
117,Adenthera colubrina,MANUAL,100,ACCEPTED,SPECIES,Anadenanthera colubrina,Anadenanthera,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Some sources manually removed  from data sources; affecting the scientific names
118,Adesmia spinosissima,EXACT,99,ACCEPTED,SPECIES,Adesmia spinosissima,Adesmia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
119,Adiantum latifolium,EXACT,100,ACCEPTED,SPECIES,Adiantum latifolium,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,,
120,Adiantum obliquum,EXACT,99,ACCEPTED,SPECIES,Adiantum obliquum,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,,
121,Adiantum petiolatum,EXACT,100,ACCEPTED,SPECIES,Adiantum petiolatum,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,,
122,Adiantum tetraphyllum,EXACT,99,ACCEPTED,SPECIES,Adiantum tetraphyllum,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,,
123,Adiscanthus fusciflorus,EXACT,100,ACCEPTED,SPECIES,Adiscanthus fusciflorus,Adiscanthus,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,,
124,Adonidia merrillii,EXACT,100,ACCEPTED,SPECIES,Adonidia merrillii,Adonidia,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
125,Aechmea bracteata,EXACT,99,ACCEPTED,SPECIES,Aechmea bracteata,Aechmea,Bromeliaceae,Poales,Liliopsida,Tracheophyta,,
126,Aechmea dactylina,EXACT,100,ACCEPTED,SPECIES,Aechmea dactylina,Aechmea,Bromeliaceae,Poales,Liliopsida,Tracheophyta,,
127,Aechmea floribunda,EXACT,99,ACCEPTED,SPECIES,Aechmea floribunda,Aechmea,Bromeliaceae,Poales,Liliopsida,Tracheophyta,,
128,Aechmea pubescens,EXACT,100,ACCEPTED,SPECIES,Aechmea pubescens,Aechmea,Bromeliaceae,Poales,Liliopsida,Tracheophyta,,
129,Aechmea setigera,EXACT,99,ACCEPTED,SPECIES,Aechmea setigera,Aechmea,Bromeliaceae,Poales,Liliopsida,Tracheophyta,,
130,Aechmea tillandsioides,EXACT,100,ACCEPTED,SPECIES,Aechmea tillandsioides,Aechmea,Bromeliaceae,Poales,Liliopsida,Tracheophyta,,
131,Aegiphila anomala,EXACT,100,ACCEPTED,SPECIES,Aegiphila anomala,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
132,Aegiphila bogotensis,EXACT,99,ACCEPTED,SPECIES,Aegiphila bogotensis,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
133,Aegiphila cephalophora,EXACT,100,ACCEPTED,SPECIES,Aegiphila cephalophora,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
134,Aegiphila cordifolia,EXACT,100,ACCEPTED,SPECIES,Aegiphila cordifolia,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
135,Aegiphila costaricensis,EXACT,100,ACCEPTED,SPECIES,Aegiphila costaricensis,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
136,Aegiphila elata,EXACT,100,ACCEPTED,SPECIES,Aegiphila elata,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
137,Aegiphila falcata,EXACT,100,ACCEPTED,SPECIES,Aegiphila falcata,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
138,Aegiphila floribunda,EXACT,100,ACCEPTED,SPECIES,Aegiphila floribunda,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
139,Aegiphila haughtii,EXACT,100,SYNONYM,SPECIES,Aegiphila ulei,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
140,Aegiphila integrifolia,EXACT,99,ACCEPTED,SPECIES,Aegiphila integrifolia,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
141,Aegiphila lhotskiana,EXACT,100,SYNONYM,SPECIES,Aegiphila verticillata,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
142,Aegiphila lhotzkiana,EXACT,100,SYNONYM,SPECIES,Aegiphila verticillata,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
143,Aegiphila memboscu,MANUAL,96,ACCEPTED,GENUS,Aegiphila,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,Epithet misspelt; kept the genus as it is common at the sampling location
144,Aegiphila panamensis,EXACT,100,ACCEPTED,SPECIES,Aegiphila panamensis,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
145,Aegiphila pernambucensis,EXACT,100,ACCEPTED,SPECIES,Aegiphila pernambucensis,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
146,Aegiphila scandens,EXACT,100,ACCEPTED,SPECIES,Aegiphila scandens,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
147,Aegiphila sellowiana,EXACT,100,SYNONYM,SPECIES,Aegiphila verticillata,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
148,Aegiphila smithii,EXACT,100,ACCEPTED,SPECIES,Aegiphila smithii,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
149,Aegiphila sp,EXACT,80,ACCEPTED,GENUS,Aegiphila,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
150,Aegiphila trifida,EXACT,100,ACCEPTED,SPECIES,Aegiphila trifida,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
151,Aegiphila verticillata,EXACT,100,ACCEPTED,SPECIES,Aegiphila verticillata,Aegiphila,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,
152,Aeschynomene americana,EXACT,100,ACCEPTED,SPECIES,Aeschynomene americana,Aeschynomene,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
153,Aeschynomene marginata,EXACT,100,SYNONYM,SPECIES,Ctenodon marginatus,Ctenodon,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
154,Aeschynomene martii,EXACT,100,SYNONYM,SPECIES,Ctenodon martii,Ctenodon,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
155,Aeschynomene sensitiva,EXACT,99,ACCEPTED,SPECIES,Aeschynomene sensitiva,Aeschynomene,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
156,Affonsea grazielae,EXACT,100,SYNONYM,SPECIES,Inga grazielae,Inga,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
157,Agarista hispidula,EXACT,99,ACCEPTED,SPECIES,Agarista hispidula,Agarista,Ericaceae,Ericales,Magnoliopsida,Tracheophyta,,
158,Agarista oleifolia,EXACT,100,ACCEPTED,SPECIES,Agarista oleifolia,Agarista,Ericaceae,Ericales,Magnoliopsida,Tracheophyta,,
159,Agave ortgiesiana,EXACT,99,ACCEPTED,SPECIES,Agave ortgiesiana,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,,
160,Agave parryi,EXACT,100,ACCEPTED,SPECIES,Agave parryi,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,,
161,Agave sisalana,EXACT,99,ACCEPTED,SPECIES,Agave sisalana,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,,
162,Agave tequilana,EXACT,100,ACCEPTED,SPECIES,Agave tequilana,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,,
163,Ageratina adenophora,EXACT,100,ACCEPTED,SPECIES,Ageratina adenophora,Ageratina,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
