TRYName,Duplicated,Confidence,WFOMatchedName,WFOStatus,WFOAccepted,GBIFstatus,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Sources,Notes
Ceiba glaziovii,FALSE,1.00,Ceiba glaziovii,Accepted,Ceiba glaziovii,ACCEPTED,Ceiba glaziovii,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceiba insignis,FALSE,1.00,Ceiba insignis,Accepted,Ceiba insignis,ACCEPTED,Ceiba insignis,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceiba lupuna,FALSE,1,Ceiba lupuna,Accepted,Ceiba lupuna,ACCEPTED,Ceiba lupuna,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceiba pentandra,FALSE,1.00,Ceiba pentandra,Accepted,Ceiba pentandra,ACCEPTED,Ceiba pentandra,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceiba samauma,FALSE,1.00,Ceiba samauma,Accepted,Ceiba samauma,ACCEPTED,Ceiba samauma,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceiba schottii,FALSE,1,Ceiba schottii,Accepted,Ceiba schottii,ACCEPTED,Ceiba schottii,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceiba speciosa,FALSE,1.00,Ceiba speciosa,Accepted,Ceiba speciosa,ACCEPTED,Ceiba speciosa,Ceiba,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Celosia monosperma,FALSE,1,Celosia monosperma,Accepted,Celosia monosperma,ACCEPTED,Celosia monosperma,Celosia,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Celtis,FALSE,1.00,Celtis,Accepted,Celtis,ACCEPTED,Celtis,Celtis,Cannabaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Celtis brasiliensis,FALSE,1.00,Celtis brasiliensis,Accepted,Celtis brasiliensis,ACCEPTED,Celtis brasiliensis,Celtis,Cannabaceae,Rosales,Magnoliopsida,Tracheophyta,,gbif,
