TRYName,Duplicated,Confidence,WFOMatchedName,WFOStatus,WFOAccepted,GBIFstatus,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Sources,Notes
Casearia sp1,FALSE,0.90,Casearia,Accepted,Casearia,ACCEPTED,Casearia,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,gbif,
Casearia sp2,FALSE,0.90,Casearia,Accepted,Casearia,ACCEPTED,Casearia,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,gbif,
Casearia sylvepub,FALSE,0.31,Casearia sylvestris,Accepted,Casearia sylvestris,ACCEPTED,Casearia sylvestris,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; replaced with similar epithet and checked for occurrence in the sampled region
Casearia sylvestris,FALSE,1.00,Casearia sylvestris,Accepted,Casearia sylvestris,ACCEPTED,Casearia sylvestris,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,Tree,wfo;gbif,Life form obtained from: Fernandes MF; Cardoso D; de Queiroz LP. 2020. An updated plant checklist of the Brazilian Caatinga seasonally dry forests and woodlands reveals high species richness and endemism. J. Arid Environ. 174: 104079. doi:10.1016/j.jaridenv.2019.104079.
Casearia tacanensis,FALSE,1.00,Casearia tacanensis,Accepted,Casearia tacanensis,ACCEPTED,Casearia tacanensis,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Casearia tremula,FALSE,1,Casearia tremula,Accepted,Casearia tremula,ACCEPTED,Casearia tremula,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Casearia uleana,FALSE,1.00,Casearia uleana,Accepted,Casearia uleana,ACCEPTED,Casearia uleana,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Casearia ulmifolia,FALSE,1.00,Casearia ulmifolia,Accepted,Casearia ulmifolia,ACCEPTED,Casearia ulmifolia,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Casimiroa tetrameria,FALSE,1,Casimiroa tetrameria,Accepted,Casimiroa tetrameria,ACCEPTED,Casimiroa tetrameria,Casimiroa,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia,FALSE,1.00,Cassia,Accepted,Cassia,ACCEPTED,Cassia,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia cowanii,FALSE,1.00,Cassia cowanii,Accepted,Cassia cowanii,ACCEPTED,Cassia cowanii,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia fastuosa,FALSE,1,Cassia fastuosa,Accepted,Cassia fastuosa,ACCEPTED,Cassia fastuosa,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia ferruginea,FALSE,1.00,Cassia ferruginea,Accepted,Cassia ferruginea,ACCEPTED,Cassia ferruginea,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,gbif,
Cassia fruticosa,FALSE,1.00,Cassia fruticosa,Synonym,Senna fruticosa,ACCEPTED,Senna fruticosa,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia grandis,FALSE,1.00,Cassia grandis,Accepted,Cassia grandis,ACCEPTED,Cassia grandis,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia leiandra,FALSE,1.00,Cassia leiandra,Accepted,Cassia leiandra,ACCEPTED,Cassia leiandra,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia melotriscoides,FALSE,0.21,Cassia,Accepted,Cassia,ACCEPTED,Cassia,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; kept the genus as it is common at the sampling location
Cassia moschata,FALSE,1.00,Cassia moschata,Accepted,Cassia moschata,ACCEPTED,Cassia moschata,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia occidentalis,FALSE,1.00,Cassia occidentalis,Synonym,Senna occidentalis,ACCEPTED,Senna occidentalis,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia rubriflora,FALSE,1.00,Cassia rubriflora,Accepted,Cassia rubriflora,ACCEPTED,Cassia rubriflora,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassia spruceana,FALSE,1.00,Cassia spruceana,Accepted,Cassia spruceana,ACCEPTED,Cassia spruceana,Cassia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassine xylocarpa,FALSE,1.00,Cassine xylocarpa,Accepted,Cassine xylocarpa,SYNONYM,Elaeodendron xylocarpum,Elaeodendron,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassipourea guianensis,FALSE,1.00,Cassipourea guianensis,Accepted,Cassipourea guianensis,ACCEPTED,Cassipourea guianensis,Cassipourea,Rhizophoraceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cassipourea peruviana,FALSE,1.00,Cassipourea peruviana,Accepted,Cassipourea peruviana,ACCEPTED,Cassipourea peruviana,Cassipourea,Rhizophoraceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Castanha de arara,FALSE,0.31,Joannesia heveoides,Accepted,Joannesia heveoides,ACCEPTED,Joannesia heveoides,Joannesia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Castanha do para,FALSE,0.31,Bertholletia excelsa,Accepted,Bertholletia excelsa,ACCEPTED,Bertholletia excelsa,Bertholletia,Lecythidaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Castanha sapucaia,FALSE,0.31,Lecythis pisonis,Accepted,Lecythis pisonis,ACCEPTED,Lecythis pisonis,Lecythis,Lecythidaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Castela retusa,FALSE,1,Castela retusa,Accepted,Castela retusa,ACCEPTED,Castela retusa,Castela,Simaroubaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Castilla,FALSE,1.00,Castilla,Accepted,Castilla,ACCEPTED,Castilla,Castilla,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Castilla elastica,FALSE,1.00,Castilla elastica,Accepted,Castilla elastica,ACCEPTED,Castilla elastica,Castilla,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Castilla elastica subsp. costaricana,FALSE,1.00,Castilla elastica subsp. costaricana,Accepted,Castilla elastica,ACCEPTED,Castilla elastica,Castilla,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,Excluded subspecies information (subsp. costaricana)
Castilla ulei,FALSE,1.00,Castilla ulei,Accepted,Castilla ulei,ACCEPTED,Castilla ulei,Castilla,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Castilleja,FALSE,1.00,Castilleja,Accepted,Castilleja,ACCEPTED,Castilleja,Castilleja,Orobanchaceae,Lamiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Castilleja fissifolia,FALSE,1.00,Castilleja fissifolia,Accepted,Castilleja fissifolia,ACCEPTED,Castilleja fissifolia,Castilleja,Orobanchaceae,Lamiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Casuarina equisetifolia,FALSE,1.00,Casuarina equisetifolia,Accepted,Casuarina equisetifolia,ACCEPTED,Casuarina equisetifolia,Casuarina,Casuarinaceae,Fagales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Catasetum viridiflavum,FALSE,1.00,Catasetum viridiflavum,Accepted,Catasetum viridiflavum,ACCEPTED,Catasetum viridiflavum,Catasetum,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,wfo;gbif,
Cathedra acuminata,FALSE,1.00,Cathedra acuminata,Accepted,Cathedra acuminata,ACCEPTED,Cathedra acuminata,Cathedra,Aptandraceae,Santalales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Catopsis sessiliflora,FALSE,1.00,Catopsis sessiliflora,Accepted,Catopsis sessiliflora,ACCEPTED,Catopsis sessiliflora,Catopsis,Bromeliaceae,Poales,Liliopsida,Tracheophyta,,wfo;gbif,
Catostemma,FALSE,1.00,Catostemma,Accepted,Catostemma,ACCEPTED,Catostemma,Catostemma,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Catostemma commune,FALSE,1.00,Catostemma commune,Accepted,Catostemma commune,ACCEPTED,Catostemma commune,Catostemma,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Catostemma fragrans,FALSE,1.00,Catostemma fragrans,Accepted,Catostemma fragrans,ACCEPTED,Catostemma fragrans,Catostemma,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Catostemma sancarlosianum,FALSE,1.00,Catostemma sancarlosianum,Accepted,Catostemma sancarlosianum,ACCEPTED,Catostemma sancarlosianum,Catostemma,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,gbif;wfo,NGEE-Tropics entry
Catostemma sclerophyllum,FALSE,1.00,Catostemma sclerophyllum,Accepted,Catostemma sclerophyllum,ACCEPTED,Catostemma sclerophyllum,Catostemma,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Caularthron bilamellatum,FALSE,1.00,Caularthron bilamellatum,Accepted,Caularthron bilamellatum,ACCEPTED,Caularthron bilamellatum,Caularthron,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,wfo;gbif,
Cavanillesia hylogeiton,FALSE,1.00,Cavanillesia hylogeiton,Accepted,Cavanillesia hylogeiton,ACCEPTED,Cavanillesia hylogeiton,Cavanillesia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cavanillesia platanifolia,FALSE,1.00,Cavanillesia platanifolia,Accepted,Cavanillesia platanifolia,ACCEPTED,Cavanillesia platanifolia,Cavanillesia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cavanillesia umbellata,FALSE,1.00,Cavanillesia umbellata,Accepted,Cavanillesia umbellata,ACCEPTED,Cavanillesia umbellata,Cavanillesia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cayaponia,FALSE,1.00,Cayaponia,Accepted,Cayaponia,ACCEPTED,Cayaponia,Cayaponia,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cayaponia espelina,FALSE,1.00,Cayaponia espelina,Accepted,Cayaponia espelina,ACCEPTED,Cayaponia espelina,Cayaponia,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,,gbif,
Cayaponia granatensis,FALSE,1.00,Cayaponia granatensis,Accepted,Cayaponia granatensis,ACCEPTED,Cayaponia granatensis,Cayaponia,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cayaponia racemosa,FALSE,1.00,Cayaponia racemosa,Accepted,Cayaponia racemosa,ACCEPTED,Cayaponia racemosa,Cayaponia,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceanothus crassifolius,FALSE,1.00,Ceanothus crassifolius,Accepted,Ceanothus crassifolius,ACCEPTED,Ceanothus crassifolius,Ceanothus,Rhamnaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Ceanothus greggii,FALSE,1.00,Ceanothus greggii,Accepted,Ceanothus greggii,ACCEPTED,Ceanothus greggii,Ceanothus,Rhamnaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia,FALSE,1.00,Cecropia,Accepted,Cecropia,ACCEPTED,Cecropia,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia andina,FALSE,1.00,Cecropia andina,Accepted,Cecropia andina,ACCEPTED,Cecropia andina,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Cecropia angustifolia,FALSE,1.00,Cecropia angustifolia,Accepted,Cecropia angustifolia,ACCEPTED,Cecropia angustifolia,Cecropia,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
