AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,TraitID_22,TraitID_42,Notes
Senegalia velutina,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Liana,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna aculeata,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna acuruensis,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Tree,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna alata,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna alexandrina,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna angulata,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna appendiculata,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna aristeguietae,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna aversiflora,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Tree,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna bracteosa,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna cana,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Tree,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna catingae,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna cearensis,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Tree,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna chrysocarpa,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna gardneri,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Tree,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna georgica,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Tree,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna harleyi,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna hirsuta,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna latifolia,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Shrub,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Senna macranthera,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Tree,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
